artist,title,mood,original_mood,lyrics
Stephen Lynch,Baby,1,happy,"This is for my little girl.

My lady gives birth today.
I run to her room right away.
She smiles with glee and hands her to me.
I look at my newborn and say:

Damn, that's a ugly baby!
Damn, that's a ugly-ass baby!
I'm feeling quite concerned,
My semen must have turned,
'Cause, damn, that's a ugly baby.

I can't believe this came from me.
I think her mom did too much LSD.
She's skinny like a twig.
At least her nuts are big...
But the placenta is cuter than she.
...

******* This Lyrics is NOT for Commercial use *******"
Beatallica,Hey Dude,1,happy,"Hey dude, it's true not sad
Take a thrash song, make it better
Remember that metal is in your heart
And you can start to be a shredder

Hey dude, don't you be afraid, no
You were made to go be a fretter
The minute you let us under your skin
Then you'll begin to be a fretter

Crank your amp and feel the pain, hey dude, you're insane
The rivers run red with blood of poseurs
And don't you know that he's a fool who plays it cool
But needs for his beer to be much colder

...

******* This Lyrics is NOT for Commercial use *******"
Ministry,Palestina,0,angry,"Palestina was a very nice girl
She liked to travel and sample the world
Palestina has a first hand view of life
Palestina from a very young age
Saw the oppression, felt the rage
Palestina wants out of her cage to fight

...

******* This Lyrics is NOT for Commercial use *******"
Marilyn Monroe,You'd Be Surprised,1,happy,"He's not so good in a crowd but when you get him alone,
you'd be surprised.
He isn't much at a dance but then when he takes you home,
you'd be surprised.
He doesn't look like much of a lover,
don't judge a book by its cover,
'cause he's got the face of an angel but
there's a devil in his eye!
...

******* This Lyrics is NOT for Commercial use *******"
New Model Army,"No Mirror, No Shadow",3,sad,"It's hard to talk to people who remember what I say
I guess I need an amnesiac priest or something
Or a stranger on a long bus journey to somewhere far away
One day the desert will cover all the earth
With only the wind to sing in the silence
All my secrets buried forever in the blown dust

It seems so simple but they just don't get it
I meant what I said at the time that I said it
Nothing is ever meant to last
I want no mirror, I want no shadow
I want my follies to have no echo
...

******* This Lyrics is NOT for Commercial use *******"
The Cat Empire,Sly,1,happy,"If frizzy hair was a metaphor
For festival time
Then this woman is a goddess of that festival shrine
Met her while at a jam in that garden of sorts
I must confess god bless
Some impure thoughts
""Show us the money""

Was the call of the night
But no money could have bought
Even a piece of the pride, there might
Have been a sea of people
I don't know, because
All I could see
Was that this woman, she glowed so

Why, it's a pleasure to meet you
Ya look like one incredible creature
Wanna treat you fine
Let's dance and grind
Get so funk-inflicted, it's a crime
You're divine you're sublime
And well, you blow my mind, eh

You're so sly, alright
...

******* This Lyrics is NOT for Commercial use *******"
Monkey,The Living Sea,2,relaxed,"Flying Fish:

东海扬波千层浪
DONG HAI YANG BUO QIAN CENG LANG
Ten thousand waves in the eastern sea
浪花彩云荡
LANG HUA CAI YUN DANG
Sea foam like rainbow-coloured clouds
云雨水中情依依
YUN YU SHUI ZHONG QING YI YI
...

******* This Lyrics is NOT for Commercial use *******"
Luther Vandross,I'd Rather,2,relaxed,"I thought some time alone
Was what we really needed
You said this time would hurt more than it helps
But I couldn't see that
I thought it was the end
Of a beautiful story
And so I left the one I love at home to be alone

And I tried and found out this one thing is true
That I'm nothing without you
I know better now
And I've had a change of heart

I'd rather have bad times with you
Than good times with someone else
I'd rather be beside you in a storm
Than safe and warm by myself
I'd rather have hard times together
Than to have it easy apart
I'd rather have the one who holds my heart
Ooh, ooh, ooh-yeah

And then I met someone
...

******* This Lyrics is NOT for Commercial use *******"
Madredeus,O Pomar Das Laranjeiras,3,sad,"Jurarei eterno amor
Saudades a vida inteira
Ao nascer do Sol
No pomar das laranjeiras

...

******* This Lyrics is NOT for Commercial use *******"
Rocco DeLuca & The Burden,Gift,3,sad,"I don't want to be
Political energy
A constant apology
Or an instrument of hurt
A hammer coming down
To pound and pound and pound
The door to your closet
Is greedy with love

Here's my gift to you
Accept it accept it
...

******* This Lyrics is NOT for Commercial use *******"
Pig Destroyer,Piss Angel,0,angry,"I see you headless
with me caressing your neck
My personal nightfall
An eclipse of the sunflowers

I feel so invisible (so unknown)

Coffin of dust
An illegible tombstone

They finally buried the gravedigger in the sky
...

******* This Lyrics is NOT for Commercial use *******"
Eric Burdon,Don't Let Me Be Misunderstood,0,angry,"Baby, can you understand me now
Sometimes you see that I get little mad
Don't you know no one alive
Can always be an angel
When thing goes wrong you seem so bad, girl
I'm just a soul whose intentions are good
Oh Lord, please don't let me be misunderstood

Baby, sometimes I get so carefree
With a joy that's it hard to hide
...

******* This Lyrics is NOT for Commercial use *******"
Martin Page,In The House Of Stone And Light,2,relaxed,"O Mount Kailas uncover me
Come my restoration
Wash my body clean

I've been walking
Along a crooked path
Where the walls have fallen
Broken me in half

I'm telling you
I will not rest till I lay down my head
I'm gonna go
In the house of stone and light

I shall not cry
For the blind man I leave behind
When I go
In the house of stone and light, yeah
In the house of stone and light

Holy lady
Show me my soul
Tell me of the place
Where I must surely go

Old man waiting
At the gates for me
Give me the wisdom
Give me the key
...

******* This Lyrics is NOT for Commercial use *******"
LCD Soundsystem,On Repeat,1,happy,"A beat's on repeat, beating on me
From every car in the street
There's a constant repeat, on repeat
Of your paranoid heartbreaking beats
On repeat

It's a five song repeat, beating on me
With your favourite band, that helps you sleep
And here comes the new stylish creep
From every car in the street
On repeat
On repeat

On repeat
Don't tell nobody what, what you really want because
They can tell everybody else what you really want
...

******* This Lyrics is NOT for Commercial use *******"
Fotos,Katharina,3,sad,"so frisch so verbraucht
so bunt und so grau
seh ich dich wieder
und wieder

in schnellen zeiten auf den wolken
alles dreht sich
nur du stehst still

wenn wir über den park fliegen
auf dem wasser auch am ufer unter bäumen unserer kindheit

der wind in meinem bauch muss ein sturm sein
denn so fühlt es sich an wenn du neben mir stehst
...

******* This Lyrics is NOT for Commercial use *******"
Ephraim Lewis,Drowning In Your Eyes,2,relaxed,"Feel the ground it's slipping away
Like a sigh that greets the close of day
Feel the waters welcoming arms
Embrace me in their quiet karma
I can't hear what you say anymore
Just the sound of trees on the ocean floor
Irresistibly drawn from the shore

I'm drowning in your eyes
I'm floating out to sea
Helpless on the restless tide
That flows between you and me

Moving slowly as if in a dream
The colors change from blue to green
All around me reflections of you
...

******* This Lyrics is NOT for Commercial use *******"
As I Lay Dying,Losing Sight,0,angry,"Can we die to live another day?

(How could we lose sight of what matters most?)
(Trying to love what cannot love us back)
(How could we lose sight of what matters most?)

How could we lose sight of what matters most?
Trying to love what cannot love us back
All we have is not worth living for
If we do not know when to let go

...

******* This Lyrics is NOT for Commercial use *******"
Suzi Quatro,Devil Gate Drive,1,happy,"Hey, y'all want to go down to Devil Gate Drive?
(Yeah!)
Well, come on!

(Welcome to the dive)
(A one, a two... a one, two, three)
(Yay!)
(Yay!)

Well, at the age of five, they can do their jive
Down in Devil Gate Drive
And at the age of six, they're gonna get their kicks
Down in Devil Gate Drive

Well, your mama don't know where your sister don't go
She go down to the Drive, she's the star of the show
But let her move on up, let her come, let her go
She can jive down in Devil Gate Drive

So come alive (yeah!)
Come alive (yeah!)
Down in Devil Gate Drive
So come alive (yeah!)
Come alive (yeah!)

Down in Devil Gate
Down in Devil Gate
Down in Devil Gate Drive
...

******* This Lyrics is NOT for Commercial use *******"
Rammstein,Feuer und Wasser,3,sad,"Wenn sie Brust schwimmt ist das schön
Dann kann ich in ihr Zentrum sehn
Nicht daß die Brust das Schöne wär
Ich schwimm ihr einfach hinterher
Funkenstaub fließt aus der Mitte
Ein Feuerwerk springt aus dem Schritt

Feuer und Wasser kommt nicht zusammen
Kann man nicht binden sind nicht verwandt
In funken versunken steh ich in flammen
Und bin im Wasser verbrannt
Im Wasser verbrannt

Wenn sie nackt schwimmt ist das schön
Dann will ich sie von hinten sehn
Nicht daß die Brüste reizvoll wären
...

******* This Lyrics is NOT for Commercial use *******"
The Concretes,On The Radio,1,happy,"I must say it was love from the start
When you gave me a tune to sing
But i guess you'll never know
'cause some things are meant
To stay unrevealed
...

******* This Lyrics is NOT for Commercial use *******"
Rage Against the Machine,Ashes In The Fall,0,angry,"A mass of hands press on the market window
Ghosts of progress dressed in slow death
Feeding on hunger and glaring through the promise
Upon the food that rots slowly in the aisle
A mass of nameless at the oasis
That hides the graves beneath the master's hill
Are buried for drinking, the rivers water while
Shackled to the the line at the empty well

This is the new sound, just like the old sound
Just like the noose wound, over the new ground
This is the new sound, just like the old sound
Just like the noose wound, over new ground

Listen to the fascist sing
""Take hope here, war is elsewhere
You were chosen, this is God's land
Soon we'll be free of blot and mixture
Seeds planted by our Forefathers' hand""

A mass of promises begin to rupture
Like the pockets of the new world kings
Like swollen stomachs in Appalachia
Like the priest that fucked you as he whispered holy things
A mass of tears have, transform the stones now
...

******* This Lyrics is NOT for Commercial use *******"
The Aquabats,Pool Party,1,happy,"""Bro, what's up?""
""Dude, just watching the dating game""
""Right on, hey dude, guess what tonight?""
""What?""
""Pool party, my house, 8 o'clock""
""Yeah!""
""You don't even know dude, there's gonna be
Food and girls and more food
And Mike Gerudo's coming!""
""Ohh yeah!""
""Ohh yeah!""
""Hold on, dude, hold on""

Pool party baby
It was a cool party
Cool pool party
La la la la
Pool party baby
It was a cool party
Cool pool party
La la la la
Popcorn, hot dog buns, and hamburger patties
All the food you need to feed the many hungry
Millions of people want in to my party
But it's invite only
And you're on the list baby

Your pool rips
I cleaned it yesterday
Girls look cute
In their swimming suits
Holy guacamole
We've got chips
So come on take a dip
'Cause my pool rips

It was a pool party for the cool kids at my school
It was a pool party for the cool kids at my school
It's so cool in my pool
...

******* This Lyrics is NOT for Commercial use *******"
Barry White,"Honey Please, Can't Ya See",1,happy,"Uh, somebody loves me too
I guess I always knew I'd find someone like you
So, don't go sweet and true
My, my, oh, me, oh, my
You're the reason why
I'll love you 'til the day I die
My, oh my

Honey, please, can't you see you saved me?
Can't you see you gave me?
Can't you see you made me, yeah?
Honey, please, can't you see? (Can't you see you saved me?)
Honey, can't you see? (Can't you see you made me, yeah?)
...

******* This Lyrics is NOT for Commercial use *******"
Megadeth,Use the Man,0,angry,"I saw her today
I saw her face
It was the face that I loved
And I knew I had to run away
And get down on my knees and pray
That they'd go away
But still they'd begin
Needles and pins (needles and pins, needles and pins)

I heard somebody fixed today
There was no last goodbyes to say
His will to live ran out
I heard somebody turned to dust

Looking back at what he left
A list of plans and photographs
Songs that never will be sung
...

******* This Lyrics is NOT for Commercial use *******"
Mystery Jets,Half In Love With Elizabeth,1,happy,"And he's half in love with Elizabeth
And he's half in love with you

Some things are too painful to say out loud
Well, they live behind a veil and see through a shroud
Words fly through his mouth
Like paper butterflies
Well they flutter around and put holes in your side

And he's half in love with Elizabeth
And he's half in love with you

I knew that you were thinking of him last night
'Cos I saw the blood seep down to your toes
...

******* This Lyrics is NOT for Commercial use *******"
Hole,Gutless,0,angry,"All my friends are embryonic
All my friends are dead and gone
All my friends are microscopic
All my friends wake up alone

Girl germs eat your little virus
Revolution come and die
Elitists who eat the virus
Sleep with me, wake up alive

Gutless, you're gutless
...

******* This Lyrics is NOT for Commercial use *******"
Atlantic Starr,Silver Shadow,2,relaxed,"Silver shadow
Glowing shadow
Shining brightly
For all to see

I remember gazing on this quiet night
The stars were bright as they could be
Wonderin' if things would ever go right
And if there was a spot up there for me

Then one star got brighter by the minute
Strange that it seemed to have my name written in it
I reached for the star and it kissed me with it's light
It made me cast a show that was silver and bright

Silver shadow
Glowing shadow
Shining brightly
For all to see
...

******* This Lyrics is NOT for Commercial use *******"
Rare Earth,I Just Want To Celebrate,1,happy,"One, two, three, four

I just want to celebrate another day of livin'
I just want to celebrate another day of life

I put my faith in the people
But the people let me down
So, I turned the other way
And I carry on, anyhow
That's why I'm telling you

I just want to celebrate, yeah, yeah
Another day of living, yeah
I just want to celebrate another day of life

Had my hand on the dollar bill
And the dollar bill flew away
But the sun is shining down on me
...

******* This Lyrics is NOT for Commercial use *******"
Jon & Vangelis,He Is Sailing,2,relaxed,"Out of the mist into tropical splendour
With garlands of flowers
In Majestical fusion we see tonight
On to this sacred reunion of pleasure
They row as a rhythm, ten thousands of millions
They touch the Light
King is sailing they say
King is sailing we hear
King is sailing they say
King is sailing this day of days of days
Cocasaya Tay Toca
(Printed lyrics show the following which is left out entirely in recording)
(Drums beating faster thru' harder excitement
(The wings bring the Angels
...

******* This Lyrics is NOT for Commercial use *******"
Blonde Redhead,For the Damaged,0,angry,"Maybe again he will be alone
Guess we're equally damaged
Find your name, do it all the same equally
Signal when you can't breathe no more

Say you were me then you could see the view
...

******* This Lyrics is NOT for Commercial use *******"
Anthrax,This Is Not an Exit,0,angry,"I know I'll never be free
Change doesn't come easy
And if I'll never be free
You'll live in hell with me

Fear, a contradiction
Co-existense, darkness brought to light
My own skin don't seem to fit me right
Pain is my way of self expression
A fatal choice that always hangs above
Love what I kill, kill what I love

I run, you run, you stop and then you take it
I run, you run, I stop and then you get it
I run, you run, you stop and then you take it
I run, you run, I stop and then you get it

From me
The one who's giant steps ahead of where you'd be
What you don't see
I know I'll never save myself
Dying from this immortality

This is not an exit
Yeah, I can never change it
This is not an exit
It's no way

Out, out of touch with
...

******* This Lyrics is NOT for Commercial use *******"
Iron & Wine,Peace Beneath the City,2,relaxed,"Here's a prayer for the body buried by the Interstate
Mother of a soldier, a tree in a forest up in flames
Black valley, peace beneath the city
Where the women hear the washboard rhythm in their bosom when they say

Give me
Good legs
And a Japanese car
And show me a road

...

******* This Lyrics is NOT for Commercial use *******"
The Black Heart Procession,The Invitation,3,sad,"Oh that You'd come tear open the sky
That You'd come down That You'd come down
Oh that the mountains would tremble inside
That You'd come down That You'd come down
As fire burns away all the Lies
Won't You come down won't You Come down
...

******* This Lyrics is NOT for Commercial use *******"
Nas,Ether,0,angry,"Fuck Jay-Z
What's up niggas?
Ayo, I know you ain't talking 'bout me, dog, you? What? (Fuck Jay-Z)
You been on my dick nigga, you love my style, nigga (fuck Jay-Z)

(I) fuck with your soul like ether
(Will) teach you, the king, you know, you
(Not) God's Son across the belly
(Lose) I prove you lost already

Brace yourself for the main event
Y'all impatiently waiting
It's like an AIDS test
What's the results, not positive
Who's the best, Pac, Nas and B.I.G.?
Ain't no best, East, West, North, South, flossed out, greedy
I embrace y'all with napalm

Blows up, no guts left, chest, face gone
How could Nas be garbage?
Semi-autos at your cartilage (uh)
Burner at the side of your dome, come out of my throne
I got this locked since '91, I am the truest
Name a rapper that I ain't influenced
Gave y'all chapters, but now I keep my eyes on the Judas
With Hawaiian Sophie fame, kept my name in his music, check it

(I) fuck with your soul like ether
(Will) teach you, the king, you know you
(Not) God's Son across the belly
(Lose) I prove you lost already

Ayo, pass me the weed, put my ashes out on these niggas, man
Ayo, you faggots, y'all kneel and kiss the motherfuckin' ring

(I) fuck with your soul like ether
(Will) teach you, the King, you know, you
(Not) God's Son across the belly
...

******* This Lyrics is NOT for Commercial use *******"
Rage Against the Machine,Sleep Now in the Fire,0,angry,"Yeah!

The world is my expense
The cost of my desire
Jesus blessed me with its future
And I protect it with fire

So raise your fists and march around
Just don't take what you need
I'll jail and bury those committed
And smother the rest in greed

Crawl with me into tomorrow
Or I'll drag you to your grave
I'm deep inside your children
They'll betray you in my name

Hey! Hey!
...

******* This Lyrics is NOT for Commercial use *******"
Stacey Kent,The Ice Hotel,2,relaxed,"Breakfast on the Morning Tram
Let's you and me go away to The Ice Hotel
The Caribbean's all booked out
And that's just as well
Once I'd have been much keener
On Barbados or Antigua
But just now I think the Arctic will suit us well
Let's you and me go away to The Ice Hotel

They've built it all with ice that's pure and clear
The sofas, the lobby
Even the chandelier
A thermostat guarantees a steady minus five degrees
What other place could serve our needs so well
Let's you and me go away to the Ice Hotel
Romantic places
Like Verona or Paris
They'll always lead you astray
...

******* This Lyrics is NOT for Commercial use *******"
Devo,That's Good,1,happy,"Everybody, it's a good thing
Everybody wants a good thing
Everybody, ain't it true that
Everybody's looking for the same thing?
Ain't it true? There's just no doubt
There's some things that you can't do without
And that's good

Ain't it true? The sun that shines
You got yours, and you got mine
And that's good

Everybody's just like you, it's true
Everybody wants a good thing too
...

******* This Lyrics is NOT for Commercial use *******"
Lenny Kravitz,Can We Find A Reason?,3,sad,"Is there anyone out there
Willing to try
Or are we satisfied
With just getting by
We've hurt Mother Nature
Can't you see her she's crying
We robbed and we raped her
And taken her child
And oh, ohh, ohh, ohh
Can we find a reason
Just think about it
And oh, ohh, ohh, ohh
Can we find a reason
To live another season
Yeah
We're fighting more battles
Everyday we're alive
We should be rejoicing
But instead we cry
This world's so polluted
...

******* This Lyrics is NOT for Commercial use *******"
Ghostface Killah,Mighty Healthy,0,angry,"My God, so they are killers
I've heard lots of people say once a man's a killer
They just keep on killing and killing
They sort of develop a taste for blood
Yeah, that's right
They kill one man, or kill ten
It's all the same (yes)
After all, they can only hang you once

Both hands clusty, chillin' with my man Rusty
Low down, blew off the burner, kinda dusty
The world can't touch Ghost, purple tape, Rae co-host
Monty Hall expo, intellect, you read pro
Son's triflin' fuck, wildflower on the cycle and
Picked up the broom thought I was Michael-in'
West Brighton Pool, now I'm into Iron Duels
Turn nuns to Earths, Whoopi, she at Allah school

Inhale break beats of Hell a-alikes propel parallel
Duracell knot, you flashed a burnt cell
Snap out of Candyland, kids, the old rumor is
Blacks become immune and shit, we never did
Like eating dead birds, trust the pharmacy over herbs
...

******* This Lyrics is NOT for Commercial use *******"
Radiohead,We Suck Young Blood,3,sad,"Are you hungry?
Are you sick?
Are you begging for a break?

Are you sweet?
Are you fresh?
Are you strung up by the wrists?

...

******* This Lyrics is NOT for Commercial use *******"
Joe Nichols,Tequila Makes Her Clothes Fall Off,1,happy,"She said I'm going out with my girlfriends
For margaritas at the Holiday Inn
Oh, have mercy, my only thought
Was tequila makes her clothes fall off

I told her put an extra layer on
I know what happens when she drinks Patrón
Her closet's missing half the things she bought
Yeah, tequila makes her clothes fall off

She'll start by kicking out of her shoes
Lose an earring in her drink
Leave her jacket in the bathroom stall
...

******* This Lyrics is NOT for Commercial use *******"
Beach House,House on the Hill,2,relaxed,"You'd give anything
Just to reach your door
But I won't be there

...

******* This Lyrics is NOT for Commercial use *******"
Bloodhound Gang,You're Pretty When I'm Drunk,1,happy,"One night me and the crew hit the road on a mission
to slurp free brew and go fuzzy flounder fishin'
kayjees on the hi-fi and the keg was bottomless
until we brought skip o' pot2mus
and daddy's gonna get some probably underage and dumb
and everybody knows that the daddy eats his young
lupus in the lavatory making a big stink
macing up the toilet seat and pooping in the sink
m.s.g.¹S tanked up and wizzin' in a cup
waiting for a sprinkle genie to come and drink it up
cause i'm the one bottle willy with the 12 horse ale
after that i get silly like soupy sales
now it's midnight and i'm completely boofy blitzed
a six of shlitz and the jew brew manischewitz
with my beer-tinted glasses I'm ready to bitty battle
I'm hungry like the wolf but i'll end up tending cattle

Cause you're pretty when I'm drunk
(you're pretty when I'm drunk)
(you're pretty when I'm drunk)
(you're pretty when I'm drunk)
(you're pretty when I'm drunk)
(and I'm pretty fuckin' drunk)

...

******* This Lyrics is NOT for Commercial use *******"
Apocalyptica,Bittersweet,3,sad,"I'm giving up the ghost of love
And a shadow is cast on devotion
She is the one that I adore
Queen of my silent suffocation

Break this bittersweet spell on me
Lost in the arms of destiny
Bittersweet

...

******* This Lyrics is NOT for Commercial use *******"
Robin Williams,Friend Like Me,1,happy,"Well, Ali Baba had them 40 thieves
Scheherazade had a thousand tales
But master, you in luck 'cause up your sleeves
You got a brand of magic never fails
You got some power in your corner now
Some heavy ammunition in your camp
You got some punch, pizzazz, yahoo and how?
See, all you gotta do is rub that lamp, and I'll say

""Mister Aladdin, sir, what will your pleasure be?""
Let me take your order, jot it down
You ain't never had a friend like me, ha-ha-ha
Life is your restaurant and I'm your maitre d'
Come on, whisper what it is you want
You ain't never had a friend like me

Yes sir, we pride ourselves on service
...

******* This Lyrics is NOT for Commercial use *******"
Roxy Music,Just Another High,3,sad,"Maybe your heart is aching
I wouldn't know, now would I?
Maybe your spirit's breaking up
I shouldn't care, now should I?

Maybe you're thinking of me
Well, I don't know, now do I?
If only you knew how I feel
Wish I could die, now don't I?

I'm just another crazy guy
Playing at love was another high
Just another high

Couldn't believe in my eyes
You drifted into my life
But marriages, made in Heaven
Can they survive in this life?

Surely it came as no surprise
Love was too hot to handle
Well, I really blew my cool and you
You just blew out the candle

...

******* This Lyrics is NOT for Commercial use *******"
XTC,Senses Working Overtime,0,angry,"Hey, hey, the clouds are whey
There's straw for the donkeys
And the innocents can all sleep safely
All sleep safely

My, my, sun is pie
There's fodder for the cannons
And the guilty ones can all sleep safely
All sleep safely

And all the world is football-shaped
It's just for me to kick in space
And I can see, hear, smell, touch, taste

And I've got one, two, three, four, five
Senses working overtime
Trying to take this all in
I've got one, two, three, four, five
Senses working overtime
Trying to taste the difference 'tween the lemons and limes
The pain and the pleasure and the church bells softly chime

Hey, hey, night fights day
...

******* This Lyrics is NOT for Commercial use *******"
Cathedral,Ebony Tears,3,sad,"Together we have discovered
The languid fatigue of love
Interrogated all our beauty
We've turned each other inside out

Drowning in

Ebony tears

...

******* This Lyrics is NOT for Commercial use *******"
J. Tillman,"Cecille, My Love",2,relaxed,"Oh, Cecille my love
How can it be
That one so small
Should carry me
When I am weak?

Oh, Cecille my love
The river holds the gun
I used to kill the one
Who willed us apart
...

******* This Lyrics is NOT for Commercial use *******"
Jagged Edge,Round And Round,2,relaxed,"Aight, so look (No)
I know you think everything I say (Yeah)
I jus' be talkin' (Oh)
It's alotta B.S, I know (We keep, we keep, we keep, we keep yeah, oh)
But we gotta stop goin' (Oh, we keep, we keep, we keep, we keep, yeah)
Back and forth, back and forth
Up and down, up and down
Round, round, round and round
If it's up to me
I'll make it happen

Baby, we be goin' round, and round and round
It's time to lock you down (Time to lock you down)
And I'm givin' up them girls
On other sides of town
Only wantin' you to be around
Baby, we be goin' round, and round and round
It's time to settle down
Givin' up them girls
On other sides of town
And justify this love that I found
We be goin' round, and round and round

If a tornado swept through towns
We'd be goin' round and round
So many years that we stayed down
You sound like no other sound (No)
If I described my heart right now
Gotta turn my love side down
I'm on my knees, 'fronta of you right now
And I wanna make you mine

Where will this road lead us right now
...

******* This Lyrics is NOT for Commercial use *******"
Jimmy Eat World,Dizzy,3,sad,"You close your eyes and kiss your hand then you blow it
But it isn't meant for me, and I notice
If the choice was ours alone,
Then why'd we both choose letting go?
Does it end like this?

Time never had a chance to heal your heart
Just a number always counting down to a new start
If you always knew the truth
Then the world will spin around you
Are you dizzy yet?

Respectfully, some honesty I'm calling out
Do you hear the conversation we talk about?
Oh back away to the safety of a quiet house
If there's half a chance in this moment
When your eyes meet mine, we show it

All talk and not a lot to think, we are living dreams
...

******* This Lyrics is NOT for Commercial use *******"
Nightwish,Angels Fall First,3,sad,"An angel face smiles to me
Under a headline of tragedy
That smile used to give me warmth

Farewell, no words to say
Beside the cross on your grave
And those forever burning candles

Needed elsewhere
To remind us of the shortness of our time
Tears laid for them
Tears of love, tears of fear
...

******* This Lyrics is NOT for Commercial use *******"
Propaganda,Wound In My Heart,2,relaxed,"You've been just an early entry in my diary
Another page I had to fill
Inside a book of a thousand
I turn the page but my heart it aches
Living my life without you

It seems like something is missing
Something is missing without you
I close my eyes and remember why
So much is missing without you
But when I start to write again

There's a gap in my life
That's too large to fill
A wound in my heart
That no doctor can heal

There's a ghost in my mind
Who is haunting all night
There is trust deep inside
Brings you back to my side

There's a gap in my life
That's too large to fill
A wound in my heart
That no doctor can heal

There's a ghost in my mind
Who is haunting all night
There is trust deep inside
Myself deceiving

You've been another colour
...

******* This Lyrics is NOT for Commercial use *******"
Suburban Kids With Biblical Names,Seems To Be on My Mind,1,happy,"Lost track of what I had to get done
Not meeting anyone
Stuck in one place while the snowflakes all come down
Oh they're coming down
Yeah, they're coming down now

Poke fun at my incompetence
Doesn't make that much sense
My qualification shrinks as I'm getting old
As I'm getting old
As I'm getting older
All the while

Love seems to be on my mind
Seems to be all the time
This is the way I always start my songs
Singing and swinging along
Singing and swinging along

...

******* This Lyrics is NOT for Commercial use *******"
Celtic Woman,The Wexford Carol,2,relaxed,"Good people all, this Christmas-time,
Consider well and bear in mind
What our good God for us has done,
In sending His beloved Son.
With Mary holy we should pray
To God with love this Christmas Day:
In Bethlehem upon that morn
There was a blessed Messiah born.
...

******* This Lyrics is NOT for Commercial use *******"
Beatallica,Everybody's Got A Ticket To Ride Except For Me And My Lightning,1,happy,"C'mon, it's such a joy, c'mon you metal boy
C'mon let's take it easy
C'mon let's make it sleazy
Everybody's got a ticket to ride
Except for me and my lightning
Your insides ooze out, the electrodes are in
The electrodes are in so your eyeballs pop out
Someone controlling me
...

******* This Lyrics is NOT for Commercial use *******"
Sade,Babyfather,2,relaxed,"We were waiting for the bus
No one much around but us
Then I see this young boy
Caught a look at me

I'm stunned in a daze
He had the whole street set ablaze
It's only love they say
Makes you feel this way

She liked his eyes, she wanted more
The baby gonna have your smile for sure
He saw a lovely girl
Smelling sweet and soapy like fresh air
She saw him looking, acted like she didn't care
That's how we knew
And so love grew a flower
A flower that is you

Your daddy knows you're a flame
Your daddy knows you're a flame
Your daddy knows you're a flame
Your daddy knows you're a flame

Even to the angels it may sound like a lie
...

******* This Lyrics is NOT for Commercial use *******"
Harvey Danger,Flagpole Sitta,1,happy,"I had visions, I was in them
I was looking into the mirror
To see a little bit clearer
The rottenness and evil in me

Fingertips have memories, mine can't forget the curves of your body
And when I feel a bit naughty
I run it up the flagpole and see
Who salute but no one ever does

But, I'm not sick
But I'm not well
And I'm so hot
'Cause I'm in hell

Been around the world and found that only stupid people are breeding
The cretins cloning and feeding
And I don't even own a TV

Put me in the hospital for nerves and then they had to commit me
You told them all I was crazy
...

******* This Lyrics is NOT for Commercial use *******"
The Avett Brothers,If It's The Beaches,3,sad,"Don't say it's over
'Cause that's the worst news I could hear, I swear that I will
Do my best to be here, just the way you like it
Even though it's hard to hide, push my feelings all aside
I will rearrange my plans and change for you

If I could go back
That's the first thing I would do, I swear that I would
Do my best to follow through, come up with a master plan
...

******* This Lyrics is NOT for Commercial use *******"
Julie Doiron,Penses-Donc (Tu Es Seule),3,sad,"Penses-donc une deuxieme fois
Tu realiseras
Que sans mon corps pres de toi
Tu ne grandiras pas

Tu penses que tu serais mieux
...

******* This Lyrics is NOT for Commercial use *******"
The Get Up Kids,The Company Dime,1,happy,"I watched it all come crashing down
On the verge of a world profound
Standing on unstable ground
Adding insult to irony
I think it's really gonna happen this time
Calls are on the company dime
Reluctance ties up the line with irresponsibility

No matter save for a friend
No argument can amend
Irreplaceable, but in the end
One star player doesn't save a team
Now you're open to attack
Our burden rests on your back
Replace, re-track
Responsibility

...

******* This Lyrics is NOT for Commercial use *******"
Ice Cube,The Predator,0,angry,"There's no stoppin' what can't be stopped
No killin' what can't be killed
There's somethin' out there waitin' for us
There's somethin' out there waitin' for us

You can run but you can't hide from the Westside
Night stalker, shit talker, run and tell them it's the L M
Nigga with the gat and I'm back
Off the everyday prey that I slay

Rollin' with a fo' chase ya through South Central
Monkey-wrench ho should know that, she'll get the bozack
'Cause I'm not stavin', but fuck that Johnny Carson ho
Never had me on the Late Night Show

Comin' with the shit that'll hit
Steady mobbin' 'cause the flavor's good
There goes the neighborhood
Nigga with the third album, how come he don't fall off?
Rollin' with the sawed-off gauge

Turn the page of the chapter, caught up in the rapture
But you know Anita, she can get the pita
Eat 'em up yum and you're floored
Motherfuck Billboard and the editor, here comes The Predator

Yo, I'm out, but I'll be back
Yo, I'm out, but I'll be back
Yo, I'm out, but I'll be back
Yo, I'm out, but I'll be back

Check your head for the new style
...

******* This Lyrics is NOT for Commercial use *******"
In Flames,Evil in a Closet,3,sad,"We were one in words
You finished my sentence
I could never attract tomorrow
It pushes me aside

I sink in waters deep
Your presence kept me floating
Far from depths where secrets lie
Maybe in another lifetime
...

******* This Lyrics is NOT for Commercial use *******"
