lyrics,mood,embedding,reduced_embedding
see butterfly feeling high hand start reach high oh oh feeling high hand start reach high oh oh sorry,2,"[-0.01234173 -0.00992337 -0.00151401 ...  0.00411053  0.01632053
 -0.04590825]","[-0.029911945528850382, 0.02660545723500865, 0.06320778459472093, -0.05244048318668146, -0.03205359151178649, -0.013463871992371984, -0.043524212491958925, 0.05840210135236169, -0.033622599447285365, 0.09099308404309565, 0.08791771714690089, -0.06903370715518485, 0.15424052508767466, -0.040258458856313434, -0.04989655497007894, 0.02920707006652554, -0.01064465720519191, -0.008387073048276314, -0.0364943160042146, 0.00806353490747948, 0.00046871785232269295, -0.048195551236778295, 0.015419177384365344, -0.04346466821869984, 0.03993967455059612, -0.02419162860299561, -0.019620990938118834, -0.03697937986432415, -0.03400509532066099, 0.05717641466981273, 0.007912551296364933, -0.007197617979365538, 0.02321390833336753, -0.016878844347885415, -0.0034227328567326327, -0.014817523450844737, 0.023620119813808006, 0.0008806043599763304, 0.021868314576643618, -0.009704031126291025, 0.08800557623437394, 0.021739137953115936, -0.00043656746003841926, -0.008461066211627713, 0.007701535651995864, 0.037486093812258266, 0.05728689323854677, 0.03227217822704921, 0.020832313174328283, 0.009720900870343325]"
carrion name choose mouth curse tragic serene juda stride gothic hall shame statue coldly hold worse murder reclaim dark forsaken time kissing heaven spent wiped lip free hectic discharge wishing repent brute ravaged free slight hand beauty week conquest deep methodical screwing hurt repeatedly like world wound foot large inferno written damn let wrong,0,"[-0.00758898  0.00158075  0.01711379 ... -0.01363492  0.01437839
 -0.01802559]","[0.14751150453871964, -0.08253191529631472, -0.07367017510055637, -0.09062128870720661, -0.04248695762295665, -0.04341696598324515, 0.09352347831702047, 0.011764817533413475, -0.003925106682075992, 0.015437306629519363, 0.014211681346053641, 0.10502679275998456, -0.047740446991308756, -0.005886918640981951, 0.02018484868619003, -0.018821196317620248, -0.026212850834556854, -0.007964339903911684, -0.058910367556438845, -0.06946078728994833, 0.031605550495331446, -0.025553312826284504, 0.005469795550749958, 0.02688255378399014, 0.0324725126867399, -0.017003625888481196, -0.013963506944267737, 0.05825121009464419, -0.0059752998121774354, 0.009141720606003672, 0.02762116781687155, -0.04972523780136359, 0.024218513432970195, 0.01534505047195066, 0.016510264395254205, -0.012943106642209582, -0.024001736754392874, 0.020769190391025413, -0.036555874214605266, -0.0028658918101534935, -0.0055047939347329395, -0.014674502912022805, -0.02262840641456372, 0.028466688106746234, 0.01932826867082263, 0.023639394567268525, 0.007835918812934585, 0.05461057080089841, -0.017700298284224023, 0.0010384629885530064]"
see skull build tower build crash fury red crack heart head see skull build tower build crash fury red crack heart head see skull build tower build crash fury red crack heart head smile stick kiss could stop smile stick kiss could stop smile stick kiss smile stick kiss,2,"[-0.01374261 -0.00349137  0.00694221 ...  0.00081713 -0.01693684
 -0.03571053]","[0.0757838996200504, 0.018730961568824322, 0.0237370408058289, -0.049206768640515826, -0.03139983244427084, -0.027043394873371783, -0.05163434981496682, 0.00631483725147055, -0.051067105114438655, 0.04743705292025581, 0.03265652541154459, -0.0395519651235829, 0.009928216065498194, -0.08870755836942398, 0.0555047870998121, -0.034448140335867024, -0.04552014074916627, -0.03657075057796932, -0.022097069593155983, 0.028548603213915218, 0.037703473460206645, -0.0635440579196289, -0.0486189610666815, -0.015744931510395476, 0.04694981872361127, -0.05121986701170433, -0.015716626024700538, 0.0017710915038726329, -0.04802200192128937, -0.024162251826478225, 0.0029939935553268794, 0.043289404079498744, 0.05649680463573015, 0.019615019185502333, 0.04054513622207374, -0.010451438532512578, -0.030644646341032675, 0.01321642764733816, -0.04374626957070464, -0.0355102617043896, -0.01210818196519604, -0.06455148442499867, -0.023331473954371313, 0.012821358051750496, -0.011912521803763952, 0.06121949035938032, -0.0367320611100707, -0.015210394591064463, -0.04256011947533835, 0.016825110496032882]"
welcome time stand still one leaf one soon full never seems change must labelled mentally deranged dream thing every night see freedom sight locked door window barred thing make brain seem scarred sleep friend see dream reality keep locked cage see brain say rage sanitarium leave,3,"[ 0.00741376 -0.00057085  0.01900717 ...  0.00561856 -0.00750283
 -0.03702767]","[0.0014684641662490046, -0.07491165080108544, -0.01658716357659894, 0.04937760177919656, -0.08171099928395169, -0.020214854658640345, -0.07406984333515741, -0.017935509440323884, 0.00860591922501009, -0.04378362471176857, -0.018265061334834326, -0.02922952630737039, -0.04645683978666486, 0.01579284808942345, 0.01159969225667273, -0.003104749780142743, 0.02167884259096839, -0.0032260116722088394, 0.009702961387169895, 0.02041113175767556, -0.0007141801074926632, -0.06636540553389858, -0.03789267769296131, 0.002069985942800052, -0.025465792218331614, -0.037843363814551695, 0.0074636003485450365, 0.006388254011533564, -0.03937927985541089, 0.07212925472476085, 0.0261988492825227, 0.06494143222452929, -0.03762972696486897, -0.01064063161723241, 0.02370179190482429, -0.027873536231978472, 0.002608292211883079, -0.025208854678067327, 0.00027927850554286884, 0.011886087264928794, 0.026607680018299915, 0.015459974473896264, -0.029827196426523487, 0.005531866710931836, -0.039020500767945034, 0.009445139385183323, -0.015569924052222477, 0.103496954922754, 0.020844204445561867, 0.009392559165335688]"
little bird little bird little bird hear clink morning cheer range juice concentrate crossword puzzled start grate one across letter word sitting little bird little bird little bird see picture perfect scene twotone law manured garden wearing haute couture hiding something trying hard riding something trying hard little bird little bird little bird may time lounge,2,"[-0.00215144 -0.00528346  0.00789262 ... -0.00326573 -0.01780126
 -0.02576931]","[-0.0037860592457613683, -0.0005185837189520583, 0.09705819112565528, 0.0034269495882423232, 0.044882973315539955, -0.03242361880764651, -0.08691420231567244, 0.024396467346945203, -0.04292208204625312, -0.01527334949788268, 0.09137878250377451, 0.050160814804836425, -0.06868054009838477, -0.0048311168004809835, 0.05832966197625008, 0.028496697489785047, -0.020105357757849527, -0.0279730063176923, -0.03508904349223687, 0.001264740787625573, 0.03612061241650363, 0.01669642541316113, -0.024579000970184985, -0.0022481601790669916, -0.02513898619789191, 0.03168657515087263, 0.07100754918736137, -0.013754694767095305, -0.04734195583431084, 0.04652257726005096, -0.02325899714594348, -0.048957248202268856, -0.0223514090989286, 0.0163124582582361, 0.00622613565113166, -0.025384350068916307, 0.00896610755983869, 0.01725627039830191, 0.07779263334620935, -0.0527140754422642, 0.049973013676224025, 0.05424561856773131, 0.011640479904587393, 0.048826051990430365, 0.005148836025238809, 0.033010563933187534, -0.018161030690563344, -0.017666408522635835, -0.0008888879711001981, -0.010084987599949902]"
know feel lonesome one left really care ever try smile people ever seem stare,3,"[ 0.00803929  0.00033057  0.02244301 ...  0.01483248  0.01495307
 -0.03127282]","[-0.08265500703413756, -0.0074775724378285295, -0.058984792656068916, 0.06243021140658826, 0.0197433001843898, -0.054119547470224044, -0.07240171932637396, -0.08014707217446462, 0.026895721410095517, -0.02601444242853245, -0.01540142208696274, -0.08141110559877594, 0.07327538693512775, 0.019926634922063497, 0.09383347874304192, 0.07337850691134833, -0.022615457211820063, 0.05725912269844199, 0.01068228366853881, 0.04959209307518895, -0.05793814512722616, -0.05730739518731552, 0.01533514281167945, -0.024234021618508784, 0.01196286335851456, -0.018750800215812116, 0.036955021767118706, -0.03413167699082324, -0.04063749540171957, 0.010162711583097818, -0.04399490395190893, -0.05370350286146749, -0.013119314022255081, -0.001863348680609035, -0.022828293910627673, 0.019768576851676035, -0.028118842524907497, 0.000801734456446849, -0.022096274999832466, 0.028033711685249017, -0.06365841328689963, -0.009569784347557522, 0.007345131432352927, 0.009648079088411627, 0.03146055147881876, 0.03942223919488326, -0.008770213107942605, 0.0630343205030524, -0.03166191507213401, 0.02756107267447979]"
know know door close pipe froze let go,2,"[-0.00483996 -0.01687492 -0.00516987 ... -0.00500141  0.01601854
 -0.01291591]","[0.04341893853174013, 0.036456512287901845, 0.029807897211789103, 0.07343934781376896, -0.010939763843863843, -0.0679271141824489, -0.06553932342571128, 0.09750296168802541, 0.004547627229149302, 0.06915361175486263, -0.03625551297429571, -0.0160031089324841, -0.020639813047007922, -0.03385092844437075, -0.03281387751332743, 0.03404839546128413, 0.012202107641341957, -0.08101260027335892, 5.885335026110583e-05, 0.10464982566935611, -0.016765267042019097, -0.01502974922450743, 0.005381781167411838, 0.016446427824985038, 0.038941381883378604, 0.010944899205062229, 0.032009691590177095, 0.04727655751842008, 0.03558403510314749, -0.09669937650454069, -0.01285738068965242, 0.00445201923070994, -0.023049662752306847, 0.1022600624804499, -0.0071789129866915114, -0.030378763293524173, 0.0439614038461076, -0.03601233312886702, -0.030535889519887602, -0.043603896359509245, -0.004296274096373452, 0.015812778653606963, -0.02739475929859216, 0.060203266364851966, 0.018223377137893713, 0.025671352348781835, -0.01319932483236321, 0.056196962660642336, 0.05636265924535784, 0.06197911317854218]"
daddy old man caught halfway first beer laughed hard face turned green said come long line sinner like brother go see sometimes much say anymore sit gladstone fifth back long line sinner like adedaydeday adedayday dede come long line sinner like,2,"[ 0.01379819 -0.01118117 -0.00534481 ... -0.02342853  0.0037836
 -0.00367629]","[0.042139837115388115, 0.06354469879072976, 0.07914622144861003, 0.06787534520953847, 0.05252849373115101, -0.027115148913344708, 0.04880181201367798, 0.027454191390647267, 0.06411443683716549, -0.022272997409521732, 0.031601135715591866, 0.05692679274317815, 0.033091136518594605, 0.06460013027075602, -0.0718156160952214, 0.007894747855620096, -0.033551214995818604, 0.0579750652660174, 0.021578348040214676, -0.005444713529457725, -0.03228999084534217, -0.0020591533454927583, 0.08792751324553987, -0.04659599936269305, -0.012778052954053355, -0.027642141080952507, -0.014585219721361219, -0.06160695916036099, 0.025454277883173945, 0.03098826062360634, -0.08442226160132747, 0.04703730667816542, -0.00048692170783684374, 0.06510226123590085, -0.0009419143448972064, -0.057414053762151765, 0.011202286690166194, 0.046254547804975545, 0.041052276138227234, -0.01952948486879664, 0.011940699930902248, 0.017271924365637945, -0.036392451738549096, -0.07333331431866906, 0.004176007348117972, 0.06969772312789255, -0.004260367122342721, -0.025638867292591735, -0.01854022103194411, 0.04201238713072466]"
rented truck semi go travel long winding road took map think close door let u roll top corner look starting write well need ticket screamed gutta sight drove fast eye see took mirror still following met roll highway met roll highway toll roll,1,"[-0.0051164  -0.00939483  0.0179585  ... -0.00991941  0.01512438
 -0.00781426]","[0.04729395456728422, 0.0269941622581689, 0.11246337205247153, 0.1154596478761967, -0.061047012811795566, -0.006210892803586096, 0.006543301063567009, -0.00445500646140262, -0.031276046206337296, 0.06960967820063493, -0.055374375499796506, -0.016052034617637954, 0.01150783921411156, 0.05808872789052612, -0.06744864626747667, -0.023356052391643334, -0.046734856286958545, -0.0397263800007251, 0.028675635814060005, -0.055887829108771346, 0.05787617335767434, -0.06196471748179237, -0.011073113985428169, -0.02852149760311502, 0.00944203426677005, 0.07289002130216764, -0.023238032434175257, -0.06223756198049402, -0.007602841819999168, 0.03311101010940548, 0.017365812249777634, -0.014302332897831904, -0.012547594857678512, 0.06857198138561536, 0.009333059217972678, 0.004924558041101928, -0.05248411396443114, 0.054401659283719976, -0.04810129135183923, 0.021370029037321655, -0.03421972082007144, -0.007687354089051378, -0.04887444341309417, -0.022120439218778546, 0.022433386322327643, 0.02151983511277836, 0.009127803925211904, 0.036671958356613, -0.023178697260626376, 0.019595972519638002]"
got shot got oh sweet got make hot like boomerang need repeat give loving huge kiss give loving let,1,"[-0.04016938 -0.00225918 -0.00560374 ... -0.01510513 -0.00121108
  0.00068356]","[-0.0016689678025927823, 0.10884939294335676, -0.037341003135297014, -0.08833932785874905, 0.031080624214641094, -0.006602392738561175, 0.007129397994952653, 0.015668559717438035, 0.02931714035483699, 0.07846751559643234, 0.011709610792702045, 0.017202793360493563, 0.021075899214844408, -0.055748039917864346, 0.016248756611026382, -0.03358936732888074, -0.02217505366739542, -0.08341543212977974, 0.043647472279542285, 0.05147279491115055, -0.03671030901621659, 0.008521197124036713, -0.037119888165489806, -0.06192991820137423, 0.05969712235275709, -0.004558625555074867, 0.015699976466956585, -0.01151546921543296, -0.0592628952310684, -0.06183850087292924, -0.01668946992894476, 0.03336794275199274, -0.028832761916780414, -0.02167987521079229, -0.055528731646195685, -0.012089656219712442, 0.019056365386583868, 0.043507471778030916, 0.021089980715014445, -0.02113560208869279, -0.01092511696955465, -0.03454478722068063, 0.005302741227818527, -0.021300929820890976, 0.00833215933031818, 0.024570791191089902, -0.011767997506814131, -0.02783577552121196, 0.01863540344853954, -0.023751977465553475]"
dark light man fight prayer indentation running away trivial day judgment deliverance sold bounty soul gentile priest victory seljuk holy land taken fight heathen fight heathen fight heathen fight heathen rich land power bright darkness,0,"[-0.00054702 -0.02193904 -0.01467165 ... -0.0148222   0.02463523
 -0.01035364]","[0.1531431723660231, -0.12772735210294633, 0.024804656406180153, -0.07088522949873381, 0.06907264533241986, 0.08488321378643457, 0.035457828592107714, 0.012979077231970344, 0.03521645274418583, -0.04469851235043301, -0.0677896537336204, 0.0536056623258539, 0.009994701077927928, 0.028097874975186416, -0.018854343574801563, 0.03276012855506074, 0.0026307245117782934, 0.019582380868163028, 0.0014085645849758208, -0.04835819605644202, -0.036511523081227786, 0.05142346338453982, -0.01326307829597677, -0.08583524690758018, -0.0592889767480829, 0.020534872904304974, -0.0107297621259931, 0.04309595492565515, -0.05130527432863096, -0.009588864150744713, -0.013316541348174182, -0.049322235748468064, 0.06954229135627944, -0.02200094087861387, 0.007471032589491768, -0.015839991226548396, -0.0328091196409351, 0.001988305354876935, -0.031468834513653454, 0.031874788958483564, 0.03421648553681059, 0.019259050047056834, 0.03805126302381916, 0.028365500683098687, 0.010057413375196828, -0.013270910723835645, -0.02201404702529977, -0.05867740669725488, 0.019107858471300553, -0.0023987823033998225]"
ali ai may call night day heart hear call away come away ali ai whisper wind sea special island come,2,"[-0.00109624 -0.01418146 -0.01172724 ... -0.00918464  0.00961293
 -0.02484135]","[-0.08218275853680215, -0.09421092605812205, 0.0682021050155432, -0.0384272888027368, 0.008634617984907335, 0.043329164414027434, -0.023347795603675472, 0.08629500864276687, -0.04042306170321377, 0.020250783490030677, -0.06383799261366763, 0.03311840325724769, -0.044754041889857585, -0.03965014467828612, 0.07554947548873461, 0.018332860374736363, 0.049557190942789014, -0.009590014304112751, -0.0070954005062129925, -0.0016911267953782015, -0.022713489971178107, -0.01675003510958243, 0.04477319529489971, -0.0474724330615012, 0.026103611407395602, -0.014740151290387856, -0.04275115976399519, -0.0015497259809276092, 0.009756185842780806, 0.012144139575708049, 0.02793351647581866, 0.015253470090957295, 0.011582315668817565, -0.03699034571806034, -0.004967692979671077, -0.02400314147294223, 0.029960001263314415, 0.02393201108165587, -0.0007200712164065622, -0.009737125401624438, 0.0035597178939601516, 0.002605190191428317, 0.008216761500708207, 0.03376827888560745, 0.02252788392451353, -0.004440998719648312, -0.004352856656317373, -0.031879065579551294, -0.0297878109983247, -0.041859576579671175]"
phone girlfriend upset going something said get humor like room typical tuesday night listening kind music like never know story like wear short skirt wear tshirts sheer captain teacher dreaming day wake find looking whole time could see one understands along see belong belong talk street wornout jean help thinking ought laughing park bench thinking,1,"[-0.00419831 -0.00295494  0.04173614 ...  0.01937259  0.00206143
 -0.02900401]","[-0.051362784837570764, 0.10236152165772192, 0.023338275842035273, 0.054299179149718116, -0.017239536441521208, -0.07036367541465219, 0.005616352595637501, -0.10105170557837025, 0.0027530233276882015, -0.04168374331304951, 0.03645912850829295, 0.0029913757655523113, -0.014774396502034652, -0.04893975861375054, 0.030684819927178895, 0.09902214240827464, 0.02474619071392002, -0.0009114579866274504, 0.00535134760535916, -0.052062110617918725, 0.04754078452240055, -0.003687602990252408, 0.05861478570684497, 0.01741388821665787, 0.000686207290516231, 0.00814005849966112, -0.009424750245947102, 0.021523718710089082, 0.02294414412337608, 0.11057155308172394, 0.037437848872101144, -0.008269862224460205, 0.02086849687258673, 0.02586237692564676, 0.05694304639762149, 0.04076006870094646, -0.009521549891948316, -0.07007152327073891, 0.010766243986459121, 0.0312010311771634, 0.004371664766185728, 0.025810141623981053, 0.008085021446418792, 0.016886665000812227, -0.06881806747047783, 0.005527761653537914, -0.00708528309358738, -0.06854382969851147, 0.016719238908716724, -0.0061538624145617725]"
arrested sleep see outside day week shot trying escape know lie written face well alright live old faint got lazy forgot get away young best thing going struggled lightly keep hand watching strut street,1,"[ 0.00175253  0.02156857  0.01688583 ... -0.00295642 -0.00108419
 -0.02440617]","[0.021398270757758072, 0.01105775451085624, 0.002146590909167232, 0.12448508115830408, -0.057252717098191235, -0.030826060904551107, -0.02117330580910204, -0.020400649383769773, -0.006322599301200336, -0.0246784341827061, -0.028540813767900824, 0.013074193422612939, -0.015683191177735832, 0.00017184116410822963, -0.021989175911540135, -0.0010102599221512507, -0.03721221608299467, 0.044407594512511826, 0.05598841960083541, -0.010575141967673873, 0.08018163570035011, 0.010596292256534353, -0.021634460245183798, -0.0618414856517551, -0.025796004860393414, -0.039799750966806165, 0.08398309355436195, 0.0025002458806444396, -0.045740600371132145, 0.03128558050588104, -0.01904193481319042, 0.012262585656524945, -0.022104733038388665, -0.024575119758718653, 0.016299160897690717, 0.010429961661103949, 0.04969174830456933, -0.007200856340940709, -0.011055783545122636, 0.0009066343116916705, 0.012077468966737602, -0.010821356517973686, 0.05899789482655861, 0.07679637770199137, 0.027146219605378875, 0.015115383401488242, 0.012635902539779231, 0.01103912433516099, 0.027441745749960878, 0.008760209590686218]"
promise better thing going love like son use meet night swear swear going love like son like blood swear going love like son like blood swear love right,3,"[ 0.00742405 -0.0113045  -0.01313694 ... -0.02666462  0.02130205
 -0.01860729]","[-0.05470531508479476, 0.0525358315861926, -0.043615808738791055, -0.06683290403168084, 0.05984190994585984, 0.02624900803573111, 0.06843577958149129, 0.0207017701067444, 0.004407202434078505, -0.015417210816623247, -0.08435847918928022, 0.07289120826350357, 0.002559176256670614, -0.025948556087920883, -0.049673951871931396, -0.02751419787401309, -0.006261982886097578, -0.0007106180582694111, 0.0777696474887648, 0.025303008712595925, 0.015791106744559743, 0.05030751351092029, -0.03857525568629359, -0.020651189592216006, -0.020408017509669595, 0.020538948215888, -0.0020234651760411117, 0.025156342614460623, 0.02833745403353939, -0.009140612695881007, -0.005779314790878323, -0.0016945685262407626, -0.012700868705166977, 0.0005889969164344378, 0.01523988901461337, -0.04952409983282326, 0.018317385267788245, -0.028974921169067785, -0.02107684041249612, 0.013610229776086419, -0.0036403046693260204, -0.039332403601692066, -0.015627565514444094, -0.0667116639877466, -0.003976392274201408, 0.035497240434440726, -0.02194666238381764, -0.07840224731416141, 0.029719993576801964, -0.024623459390343404]"
time born talk sex sin confess evil man everything go mass go well swell ruling life lie survive sucked vacuum culture way way late addicted control snatch bottle shelf wrapped spiritual law spiritual law middle rosary holy water make bleed attach cross head may burn dead burn rosary go burn death u time congregated endless sheep late slammed mould thrown wall,0,"[ 0.00854198  0.00029998  0.00802028 ...  0.00692471  0.00603782
 -0.02854747]","[0.11184824652271626, -0.016207100427013406, -0.06031266310519341, -0.041887217667008626, -0.04041120827281917, 0.030960755740378917, 0.0005368041773479307, 0.0018049536683749797, 0.03653988980448915, -0.05114381933808063, 0.035682953740403645, 0.09393865300241357, -0.09132890490084387, 0.04113507089384746, -0.057791285544104246, 0.021826851115392752, -0.03881537885578613, -0.015960816038915145, 0.008612304152438677, 0.02132397619339371, 0.013478097735019998, 0.008643331713131598, 0.035087710656897364, 0.028425633470393695, -0.02937656875437567, 0.018867897842829134, -0.04273792139968462, 0.04840931276611282, 0.05769000665399718, 0.01252097392552917, 0.002792700711871216, 0.0431068871416948, -0.023099739892467223, 0.012390252994997146, -0.006730406002388235, 0.01933810288627561, -0.01719922563970709, 0.034334437909291915, 0.03084613136139037, 0.041123820800298604, -0.03038267518215131, 0.027352357752632044, 0.02312536584793122, -0.008748194285653833, -0.026962054721729547, 0.01233765645922697, -0.005362059060776449, -0.038447671032000356, 0.013315665338204255, 0.022117366871417042]"
want love want bug want squeeze stupid girl want touch want take want shut stupid girl take worn break going away going away wrong life today going away going away wrong life today stupid girl stupid girl,0,"[-0.02329229  0.0201705   0.0043261  ... -0.00265251  0.00703747
 -0.01667195]","[-0.0393650692344914, 0.13593442723489393, -0.07371401248525768, -0.03091221664889212, 0.008182041351029158, -0.04608616979202368, -0.05013761834607448, -0.03376853226312053, 0.051683562203784034, 0.033720510967937344, -0.04306783375397835, 0.046696159519459476, 0.007064225308317942, -0.0030799177952307096, 0.07345284645342777, -0.05493548851731729, -0.011242935559088153, -0.021054295384460887, -0.006699530994432933, -0.06988966368448636, 0.049548727857953875, -0.04146992131214507, 0.0058645793018263755, 0.025577012665767337, 0.050444017689403695, -0.004936658316708832, -0.018150326685119973, 0.09078313140188186, -0.03170212300798058, -0.01155714993391265, -0.01852425988073791, 0.04313364447268864, -0.01754763197893645, -0.002817169033658556, 0.015951803983850946, 0.05752592933010344, -0.005187849785251855, 0.005840614644601037, -0.017791960694583032, -0.00427653941886526, 0.02630843012755997, 0.04813639137238858, 0.038983962961489496, 0.041924310203763214, -0.020998132330207232, 0.011386876462927532, -0.041171062057467636, -0.02068283069642986, 0.0517691855451742, 0.025251636324694047]"
old wave high sleepless every night lie shading eye everyone key darling look fine blue time terrified line memory time tired telephone far away shone life taken time,2,"[ 0.00311894 -0.00587174  0.0075397  ...  0.00333591 -0.00167474
 -0.03056562]","[-0.07830369199834472, -0.07638339339670526, 0.022238002878207316, 0.007578630326631133, -0.07775815988612694, -0.05646878614854143, -0.019042449784281972, -0.040582424332092346, 0.026118281532753806, -0.0931901874029655, -0.012744565931727358, -0.0395139584779181, -0.013356345404631697, -0.04286779207302953, 0.03400521310907291, -0.04175087927480526, -0.05055540866448999, 0.06694785182964579, 0.03977359615252859, 0.01549274942864469, -0.03295203649287953, -0.030102434267339793, 0.0036009728042348072, 0.013966912709339526, -0.033591679632158915, 0.023340328749043824, 0.049711231162245836, -0.04094856917420651, 0.017742182753711613, 0.04684087237820597, 0.01943096180314899, 0.043378884763616864, 0.02221486663570736, -0.04210316370740954, 0.0020363294040539135, 0.028669707068550206, 0.014373472974988248, 0.04675271531575116, -0.03370197658087507, 0.03688449348166798, 0.018208513268465922, 0.014918422462534081, 0.031289073726388186, -0.008798148425364423, -0.0029562483802136495, -0.0005870429997417619, 0.04982545925242908, -0.004434122908443048, -0.055347374693567354, 0.020935552327417718]"
start spreading news leaving today want part new work new work vagabond shoe longing stray right heart new work new work want wake city sleep find king hill top heap,1,"[-0.00099699  0.01829103 -0.00024308 ... -0.00546406  0.0156136
 -0.02405453]","[0.04777214956737528, -0.000989495991135782, 0.0597866247228205, 0.027493127941350604, 0.037430621602829464, 0.0449388292790107, -0.023301394868794404, -0.021280662585459797, 0.057434020178017665, 0.046690253608426116, -0.08092985485984484, 0.035358504112999, -0.02357254702525005, -0.018445807330182216, 0.0026802516324171, 0.019164401261926284, 0.02285674831168186, 0.0024080426366721464, 0.04533172998405375, -0.031019227091314962, 0.035593174219999746, -0.013109679573760302, -0.03796683211814478, 0.06699101452751029, -0.014214309928398113, 0.03199509719313701, 0.004333317695873417, -0.03072936966730451, 0.03138788183683266, -0.0037810180833926683, 0.04955339988742291, -0.022550243815482852, -0.047291489589181196, -0.07077907170695819, -0.03964556544655956, 0.06193471771724253, -0.039880932454743445, -0.09097356134274885, 0.02783822649972891, -0.09598862774424459, 0.012437129066063403, -0.0200351740575144, 0.053062543972875, 0.018769572139010135, 0.007547290233492931, -0.008650911511195254, 0.0005646230802006674, 0.04767075489662382, 0.03645847648714011, -0.014281744745572667]"
young heart like pleasure company cut inside groove silver spoon like tape anatomy rainbow cruise way room turning heat got magic touch turning heat little much turning heat hundred yeah girl love love many men please count rosary know might get burned careful touch get,1,"[-0.01174602 -0.01700522  0.024901   ... -0.02278058 -0.00865606
 -0.02113446]","[-0.022941017937155538, 0.056194563712877954, 0.03954226878911287, -0.11421021342519411, -0.053696355547989745, -0.021090451671953128, 0.08166878973635147, -0.03277632533087832, -0.0538645355264455, 0.07783603387230106, 0.06205355335219397, -0.024564201880482434, 0.014370013588515225, -0.003961057697003895, -0.056942856134729394, -0.0028109382062269433, -0.0075988556686732165, 7.923918446968157e-05, -0.04063277119954325, 0.03792229106958539, -0.019986883970196274, -0.01262670657538569, -0.015291364283032304, -0.011557313974533294, -0.000970800338192454, 0.02831807567541274, -0.07179494560158509, 0.0025343855271915557, 0.0016808490045962885, 0.025731840750107718, 0.015472720674816243, -0.0011064591182871572, 0.031642799103827265, 0.017146758022013035, 0.0061377422759523875, -0.03635387143710736, 0.0307605424835918, -0.0369380088994546, 0.026449805688559966, 0.03002389454019461, -0.029280518973692743, -0.012910394553672495, -0.002837342599543095, 0.025387585090088413, 0.004968460309992367, -0.06259626146661124, -0.006634654282836197, -0.006241842090543873, 0.02938564993750357, 0.03941432721678616]"
sunrise showing every flaw saying night dark eye scanning every vein exploding stand strain new milethey death defy standing trialscrutinize questioning strong denial bullet bullet bullet train piercing brain window illumination stain breakdown closing freefall close eye,0,"[-0.00283257 -0.00687659  0.00054833 ... -0.0207675  -0.00191428
 -0.01131617]","[0.07467044087511901, -0.14298356902912515, 0.010236829948422996, -0.013239350677860424, -0.10563638788257962, -0.004619078177704709, -0.00016889536554530034, -0.023606385858087543, -0.06234480918034227, -0.07334799230651627, -0.034101152785326654, -0.030867721656862572, 0.07616589972710942, -0.023365004152943184, 0.014050551189845373, -0.07501227251592735, -0.09032020601416905, -0.018195502202742866, 0.0261746086807101, 0.03236561378882261, 0.07213476833086724, 0.028523806512014537, -0.017379450800001986, 0.018191205748316664, -0.063116389281656, 0.014454223035477684, 0.000858475631004641, -0.029740675133703973, -0.032844254856953845, 0.028741455501735413, -0.031159953303262156, -0.016278608735375344, 0.005787288077830137, 0.009061000480703041, -0.022407527765992103, -0.025648922863230013, -0.006695956371217564, 0.004767998937056466, 0.005009493173248021, 0.00795342217996707, -0.04110326577243542, -0.0168780631975931, 0.012912144595090568, -0.004604384705010359, -0.03136229204080811, 0.016278564644783552, 0.0028764263927764026, -0.01709261284852996, -0.007493954856272705, 0.010918436708064938]"
soul ready life going fight soul try swept body coming street complete wished destroy mess despite next outside soul react raging crowd tonight kill demonstrate fight inside wandering wandering,3,"[-0.00111394 -0.00193647 -0.00878049 ... -0.04497157  0.0050524
 -0.01180849]","[0.09420505385238856, -0.0352291273079931, -0.04729296508500736, -0.02055080329473085, -0.08419226819585532, 0.06743815609432577, 0.026009440202339012, -0.014316055279589547, 0.040553333614035285, 0.017049696098903964, -0.0931498633076825, -0.014759487513557703, 0.03255286542433257, -0.010827636468649992, 0.0015876578316217993, -0.0029424002567494645, -0.0001755639168628432, 0.02152690242160368, 0.004403286559333902, -0.03550173946655928, 0.05848833769303811, 0.05359065941754599, 0.012704006575140113, -0.02606464914301019, -0.0005260375116216552, -0.04908581299465531, -0.0023485135288414966, 0.03512425310117956, 0.030335154235973463, -0.01658460404137462, -0.005148209811319373, -0.03782931231547395, -0.024838779537986702, -0.039402001923966166, -0.02116544945840781, -0.01673017345499739, -0.030992915014951338, 0.0023531624365609625, 0.02260644234061356, 0.02342475653051016, 0.002363446780033295, -0.020464834318212756, 0.0007166671173839747, 0.023948464312130595, 0.048825733579246744, -0.02775886757549749, -0.01347009022543101, -0.0035725413657397773, -0.01499887565838872, -0.024957817693508647]"
