artist,title,mood,original_mood,lyrics,word_count,avg_word_length
Sparks,Slowboat,3,sad,"Slowboat takes me to your home everyday
And I wait for you knowing that you wont
come home just today
For youve found someone new and youll bid me adieu
And I leave you now but Ill come back another day

Oooh sail me far away
Slowboat bring me back another day
Oooh sail me far away
",57,3.9473684210526314
Idlewild,A Modern Way Of Letting Go,0,angry,"If I know what I know then no one will watch over you
So someone shouldnt really tell me what I want to know
I know I owe and I know that matters dont matter as much
As you think they do

Cause you will only be yourself you can never be yourself
And you will only be yourself when you understand what you know oh
",66,3.727272727272727
Anita Baker,My Funny Valentine,2,relaxed,"My funny Valentine sweet comic Valentine
You make me smile with my heart
Your looks are laughable
Unphotographable
Yet youre my favorite work of art
Is your figure less than Greek
Is your mouth a little weak
When you open it to speak are you baby
Are you smart

",49,4.326530612244898
Dark Sanctuary,Des Illusions,3,sad,"Un regard
Une illusion
Un sourire
Une autre illusion
Une main tendue
De nouveau une illusion
",16,4.8125
Eric Church,Lightning,3,sad,"These four walls of Fort Worth
Are closin in on me
My final meters over
An theyre gonna set me free

I can feel the fires a burnin
As the devil guards my door
I hit my knees in search of Jesus
On a cold jail house floor

Lord now Im singin Get me out of here
I see the preachers eyes
As my daughter cries
When they strap me in this chair

Lord I hope she forgives me
For livin my life this way
Tonight I ride the lightning
To my final judgment day

Every life owes a debt
",100,3.68
Enya,Less Than a Pearl,2,relaxed,"Da rhaysy o
Mal layrhee o
Savayly o
Kadayly o

Hey o nay Korrheay
Ah hey o nay ka ru mmay
Eh hymm a vlla rheea kan
Eh hymm a ka lla mmay o an
O ay ka nee hymm nno hymm
O ay ka nee hymm nno hymm a rhay
",51,2.9215686274509802
Pink Floyd,Take Up Thy Stethoscope and Walk,0,angry,"Doctor doctor Im in bed
Doctor doctor achin head
Doctor doctor gold is lead
Doctor doctor choke on bread
Doctor doctor underfed

Doctor doctor gold is lead
",27,4.7407407407407405
Tim Buckley,Dolphins,3,sad,"Sometimes I think about Saturdays child
And all about the times when we were running wild
Ive been out searching for the dolphins in the sea
Ah but sometimes I wonder do you ever think of me

",37,4.162162162162162
The Faint,Paranoiattack,1,happy,"The news has got me paranoid
Papers and the news reports
Casualties in every war
Angry people beat the score

The weapons now and chemicals
In water and in air above
Circulating envelopes of powder
Through the postal route

The threat of a disease is here
And if it was without a cure
Itd take forever til its stopped
With mandatory needle shots

They gave us all a little buzz
",70,4.357142857142857
Megadeth,Countdown to Extinction,0,angry,"Endangered species caged in fright
Shot in cold blood no chance to fight
The stage is set now pay the price
An ego boost dont think twice

Technology the battles unfair
You pull the hammer without a care
Squeeze the trigger that makes you man
Pseudosafari the hunt is canned
The hunt is canned

All are gone all but one
No contest nowhere to run
No more left only one
",70,4.228571428571429
Tanya Donelly,Keeping You,2,relaxed,"T Donelly

Im keeping you Im keeping you
Im keeping you so realize your fate
Im keeping you Im keeping you
Im keeping you so settle down now

You landed here from inner space
You landed with that screwedup look on your face
I wanted you from way back when
I wanted you for years then years again

",58,4.068965517241379
The Cure,The Figurehead,3,sad,"Sharp and open leave me alone
And sleeping less every night
As the days become heavier and weighted
Waiting in the cold light
A noise a scream tears my clothes as the figurines tighten
With spiders inside them and dust on the lips of a vision of hell
I laughed in the mirror for the first time in a year

A hundred other words blind me with your purity
Like an old painted doll in the throes of dance
I think about tomorrow please let me sleep
As I slip down the window
Freshly squashed fly
You mean nothing
",99,4.121212121212121
Toni Basil,Mickey,1,happy,"Oh Mickey youre so fine
Youre so fine you blow my mind hey Mickey hey Mickey
Oh Mickey youre so fine
Youre so fine you blow my mind hey Mickey hey Mickey

Oh Mickey youre so fine
Youre so fine you blow my mind hey Mickey hey Mickey
Oh Mickey youre so fine
Youre so fine you blow my mind hey Mickey

Hey Mickey
Youve been around all night and thats a little long
You think youve got the right but I think youve got it wrong
Why cant you say goodnight So you can take me home Mickey

Cause when you say you will it always means you wont
Youre givin me the chills baby please baby dont
Every night you still leave me all alone Mickey

Oh Mickey what a pity you dont understand
You take me by the heart when you take me by the hand
Oh Mickey youre so pretty cant you understand
Its guys like you Mickey
Oh what you do Mickey do Mickey
Dont break my heart Mickey

",174,3.9080459770114944
Foo Fighters,"Cheer Up, Boys (Your Make Up Is Running)",1,happy,"It was meant to be but all along it never meant a thing
Never stopped to ask you why you didnt pass me by
Did you see me when your life flashed before your eyes
Was it just that I wasnt hard enough hard enough for you

Stop stop stop stop stop using my stop stop stop stop
Confusion stop stop stop stop stop stop stop stop
Wait wait

Theres a world out there theres a world out there
Dont you deny me dont you deny me
Give me one last wish give me one last wish
Theres a world out there

",102,3.7549019607843137
Ice Cube,Ghetto Vet,0,angry,"Life

Niggaz used to come and get me
When it was time to disagree with an enemy
Pass the Hennessey it gives me energy
Packed the gat in the small of my back
Where these niggaz at I clear the whole pack
Talkin shit cuz Im down for my set Im a vet
Smokin on a wet cigarette
Who these niggaz think they are
Wishin on a ghetto star I represent my tar
I start bustin and they scatter like water bugs
Cuz these Westside niggaz is harder thugs
Enslave us but nothin can save us from sportin Ben Davis
Shootin at your neighbors
Cuz sometimes I feel like a nut
Dont give a fuck when I open ya up
Hot rocks fly from the back seat
And busta ass niggaz run like a track meet
And if you crawl in the middle bleed mo than a little
What
Killer king is the hospital feelin numb from the bullets I hum
And when they hit black mothers have fits I dont give a shit

Fool Im a vet you can bet
That I could dance underwater and not get wet
Check it
Its rainin bullets and Im still there
Foe life

Im still there
My house shoes get wet from the dew on the grass
Up early in the morning takin out the trash
Feelin like a loser alcohol abuser
Two youngsters roll up on a beach cruiser
",238,3.865546218487395
Slayer,Necrophiliac,0,angry,"Mortuaries dead of night my body starts to rise
In my mind the horror lives to feel death deep inside
Relentless lust of rotting flesh to thrash the tomb she lies
Heathen whore of Satans wrath I spit at your demise

Virgin child now drained of life your soul cannot be free
Not given the chance to rot in Hell

",60,4.15
Secret Garden,Sleepsong,2,relaxed,"Lay down your head and Ill sing you a lullaby
Back to the years of looli lailay
And Ill sing you to sleep and Ill sing you tomorrow
Bless you with love for the road that you go

May you sail fair to the far fields of fortune
With diamonds and pearls at your head and your feet
And may you need never to banish misfortune
May you find kindness in all that you meet
",75,3.84
Billy Talent,Prisoners of Today,0,angry,"Id never bite off more then I could chew
But then she came and bit me
Id never bite off more then I could chew
But then she bit my leg
She said
Dont wanna work
I wanna play
And live my life like it was Sunday
The only problem is that Sunday only comes now once a week
And Im a freak but

Were breaking up the city
No time for wasting away
So tell me why should we stay
A prisoner of today

My bodys tired my souls excited
And I wish that I was gifted
My bodys tired my souls excited
And I wish I had some spunk
She said
I wanna run I wanna hide
And leave this place
Just like it left me
The only problem is I need to find the balls to follow through
",141,3.595744680851064
Sting,Brand New Day,1,happy,"How many of you people out there
Been hurt in some kind of love affair
And how many times did you swear that youd never love again
How many lonely sleepless nights
How many lies how many fights
And why would you want to put yourself through all of that again

Love is pain I hear you say
Love has a cruel and bitter way
Of paying you back for all the faith you ever had in your brain
How could it be that what you need the most
Can leave you feeling just like a ghost
You never want to feel so sad and lost again

One day you could be looking
Through an old book in rainy weather
You see a picture of her smiling at you
When you were still together
You could be walking down the street
And who should you chance to meet
But that same old smile youve been thinking of all day

Why dont we turn the clock to zero honey
Ill sell the stock well spend all the money
Were starting up a brand new day
Turn the clock all the way back
I wonder if shell take me back
Im thinking in a brand new way

Turn the clock to zero sister
Youll never know how much I missed her
Im starting up a brand new day
Turn the clock to zero boss
The rivers wide well swim across
",238,3.8151260504201683
Slayer,Psychopathy Red,0,angry,"Body count
Laid out mutilated its your time to die
Desolate
Lure kill satisfaction climax with your death
All alone
My prey intimidated feed my lust for fear
Dehumanize
Cry out stimulated your screams fill my soul

Systematic death
A physical fear
Psychopathy Red
After death gratification

",47,5.148936170212766
Anita Baker,You Belong To Me,2,relaxed,"You dont have to prove to me
Youre beautiful to strangers
Ive got loving eyes of my own of my own
You belong to me

Whyd you tell me this
Were you looking for my reaction
What do you need to know
Dont you know Ill always be your girl

You do not have to prove to me
Youre beautiful to strangers
Ive got loving eyes of my own of my own
I can tell

You belong to me
You belong to me baby
",84,3.5595238095238093
Sam Sparro,Pocket,1,happy,"If you stand tall
With your back
To the door
Then its
Your own fault
When you get knocked
To the floor
You may have
Fooled me once
But Ive got
A pretty damn
Good memory

Its a small world
What a type cliché
But its a small world
How many times can I say
That everything
You do will end up
Coming right back
Around again

And if you dont know
That by now
Then I feel quite
Sorry for you
Im sorry for you
Yeah
The people
That you keep around
Well
You learn from them
And they learn from you

So keep
Your friends close
And your enemies
In your pocket
Yeah
Keep your friends close
And your enemies
In your pocket

When you just
Might start
To melt them down
I come around
So keep
",139,3.841726618705036
Carla Bruni,Le Ciel Dans Une Chambre,2,relaxed,"Quand tu es près de moi
Cette chambre na plus de parois
Mais des arbres oui des arbres infinis
Et quand tu es tellement près de moi
Cest comme si ce plafondlà
Il nexistait plus
Je vois le ciel penché sur nous
Qui restons ainsi
Abandonnés tout comme si
Il ny avait plus rien
Non plus rien dautre au monde
Et jentends lharmonica
",63,4.190476190476191
Fischerspooner,Tone Poem,2,relaxed,"In the sanctuary
of private rhetoricy
when a bustling crowd intrudes
where rival ship meets no incentive
to impale its reckless course
1 2 3 4
",26,4.5
Bloodhound Gang,Foxtrot Uniform Charlie Kilo,1,happy,"Vulcanize the whoopee stick
In the ham wallet
Cattle prod the oyster ditch
With the lap rocket
Batter dip the cranny axe
In the gut locker
Retrofit the pudding hatch
Ooh la la
With the boink swatter

If I get you in the loop when I make a point to be straight with you then
In lieu of the innuendo in the end know my intent though
I Brazilian wax poetic so pathetically
I dont wanna beat around the bush

Foxtrot
Uniform
Charlie
Kilo

",84,4.142857142857143
The Cure,One Hundred Years,3,sad,"It doesnt matter if we all die
Ambition in the back of a black car
In a high building there is so much to do
Going home time a story on the radio

Something small falls out of your mouth and we laugh
A prayer for something better
A prayer for something better
Please love me meet my mother
But the fear takes hold
Creeping up the stairs in the dark
Waiting for the death blow
Waiting for the death blow

Waiting for the death blow

Stroking your hair as the patriots are shot
",94,4.031914893617022
Faunts,Gone With The Day,2,relaxed,"All I have is gone
Let me in and Ill take you away
Tonight Im all alone
I know the chance is gone with the day
I know the chance is gone with the day
I cry help me Im afraid
Help me Im afraid shes gone
I try to hold the love with me
To hold the love with me shes gone
Shes gone shes gone
Im alone
",69,3.3043478260869565
Kool & The Gang,Celebration,1,happy,"Yahoo This is your celebration

Yahoo This is your celebration

Celebrate good times come on Lets celebrate
Celebrate good times come on Lets celebrate

Theres a party goin on right here
A celebration to last throughout the years
So bring your good times and your laughter too
We gonna celebrate your party with you
Come on now

Celebration
Lets all celebrate and have a good time
Celebration
We gonna celebrate and have a good time

Its time to come together
Its up to you whats your pleasure
Everyone around the world come on

Yahoo
Its a celebration
Yahoo
Celebrate good times come on
",103,4.650485436893204
White Zombie,Super-Charger Heaven,0,angry,"Look I know the supernatural is something that isnt supposed to happen
But it does happen

Jesus lived His life in a cheap hotel
On the edge of Route 66 yeah
He lived a dark and twisted life and He
Came right back just to do it again

Eye for an eye and a tooth for the truth
I aint never seen a demon warp dealin
A ringading rhythm or jukebox racket
My mind cant clutch the feeling

Yeah

Devilman Devilman calling
Devilman running in my head yeah
Devilman Devilman calling
Devilman running in my head yeah

",97,4.195876288659794
Abba,Thank You For The Music,1,happy,"Im nothing special in fact Im a bit of a bore
If I tell a joke youve probably heard it before
But I have a talent a wonderful thing
Cause everyone listens when I start to sing
Im so grateful and proud
All I want is to sing it out loud

So I say
Thank you for the music the songs Im singing
Thanks for all the joy theyre bringing
Who can live without it I ask in all honesty
What would life be
Without a song or a dance what are we
So I say thank you for the music
For giving it to me
",106,3.556603773584906
Silbermond,Durch die Nacht,3,sad,"Kann mich wieder nich ablenken
Alles dreht sich nur um dich
Ich liege hier und zähl die Tage
Wie viele noch kommen ich weiß es nich
Was hast du mit mir gemacht
Warum tust du mir das an
Was soll ich noch ändern
Ich komm nur wieder bei dir an

Ich will weg von hier
Doch es scheint egal wohin ich lauf
Das mit dir hört nicht auf
Sag mir wann hört das auf

Und ich kämpf mich durch die Nacht
Hab keine Ahnung was du mit mir machst
",89,3.7865168539325844
The Cyrkle,The Visit (She Was Here),2,relaxed,"She was here with me today
Walking softly holding hands
And I thought I heard her say
She loved me

As we walked I felt her eyes
Reaching deeply into mine
And I thought I heard her sigh
She loved me

",41,3.8292682926829267
Prince,Fury,0,angry,"U must have heard it on the news this morning
Congratulations a new star is born
Sun to shadow rose to a thorn
But there aint no fury like a woman scorned

Yall musta dug it when u did your thang
Its like the song everybody wanna sang
When the musics over your earsll ring
With a voice that says Queen got no king
Got no king

No she dont

He got a message sayin U tried 2 reach him on the phone
He didnt wanna answer cuz hes so afraid
Ull probably tell him just to leave U alone
",100,3.77
The Corrs,Baby Be Brave (album version),2,relaxed,"Maybe deep down inside you dont believe it
Your wailing wall it isnt weeping at all
And youre not worthy of adoration
Youre scared that somebody somewheres gonna find
the burst pipe
And as fast as they bow down theyll leave you behind

But baby be brave cause whats the point of it all
Whats the point of it all yeah
Baby dont blow it tell me whats it all for
If youre not terrified to fail
Are you terrified to fail

Way far down below you dont feel it
Yeah everyone knows but we dont believe it
",98,4.051020408163265
Magnet,Overjoyed,2,relaxed,"Im overjoyed and in the sun
The second time this year
Im on a plane at 30 000 feet
The only way from here is down
And thats okay with me
Cause Im overjoyed Im ready for the

Fall fall fall
Cause Im ready for the fall
",47,3.595744680851064
Marilyn Manson,A Place In The Dirt,3,sad,"We are damned we are dead
All Gods children to be sent
To our perfect place
In the sun in the dirt
Theres a windshield in my heart
We are bugs so smeared and scarred
Could you stop the meat from thinking fore I swallow all of it
Could you please

",51,3.823529411764706
The Rocket Summer,Skies So Blue,1,happy,"Man I just saw something Im glad that you are here
I got to start to thinking and seeing things so clear
Cus now how could i forget what she left
What happened in November is what i needed
And im sorry that it shows but life aint so bad you know

And now the sky is such a sweet blue
and you made this come true
and my heart feels so new
woahoh woahoh woah woah woahoh
Its now wonderful to see beautiful views
like skies that are so blue
woahoh woahoh woah woah woahoh

",96,3.875
Pulp,The Fear,3,sad,"This is our music from the bachelors den
The sound of loneliness turned up to ten
A horror soundtrack from a stagnant waterbed
And it sounds just like this

This is the sound of someone losing the plot
Making out that theyre okay when theyre not
Youre gonna like it but not a lot
And the chorus goes like this

Oh baby here comes the fear again ohoh
The end is near again ohoh
",74,4.0675675675675675
Nicky Wire,Goodbye Suicide,3,sad,"Goodbye suicide
Wipe the tears down from your eyes
Take my hand
Hold back pride  goodbye suicide

Goodbye suicide
Not for real but for this life
Aurevoir
Aufwiedersein  goodbye suicide

",30,5.066666666666666
My Dying Bride,Gather Me Up Forever,3,sad,"The pain never stops
The race ignore me
I sit here twisted and it hurts me
The son is near
His way made for him
Among the hopes
Ten thousand suffering

",31,3.870967741935484
The Unicorns,Let's Get Known,1,happy,"say lets get known
if we keep it up well show the haters
its gunna be soon not later

hey lets get known
if we work real hard
we can buy some matching clothes
",34,3.6470588235294117
Coverdale/Page,Take Me For A Little While,3,sad,"Now my days are growing cold
All the memories unfold
Thinking bout the friends we lost
Wondering how to count the cost
Now my days are growing cold

I can hardly wait any longer
Now the feelings growing stronger
Thinking bout the times we had
Good times always turn into bad
Now my days are growing cold

Why dont you take me for a little while
Sing me songs you know will make me smile
Why dont you take me for a little while
",84,4.059523809523809
Caesars,It's Not The Fall That Hurts,1,happy,"All my life Ive been fall fall falling apart
Been tumbling down quick first right from the start
I never learned just get up and go on
Until Im just knocked right off of my feet

But its not the fall that hurts
Its when you hit the ground
Cuz its not the fall that hurts
Its when you hit the ground

Stumblin with every step I take
And it seems I cant get a grip
",76,3.75
Newsboys,Something Beautiful,1,happy,"I wanna start it over
I wanna start again
I want a new beginning
One without an end

I feel it inside
Calling out to me

Its a voice that whispers my name
Its a kiss without any shame
Something beautiful yeah yeah

Like a song that stirs in my head
Singing love will take us where
Somethings beautiful

Ive heard it in the silence
Seen it on a face
Ive felt it in a long hour
",77,3.831168831168831
Hard 'n Phirm,Pi,1,happy,"When ink and pen in hands of men
Inscribe your form bipedal P
They draw an altar on which
God has slaughtered all stability
No eyes could ever soak in all the places you anoint
And yet to see you all at once we only need the point
Flirting with infinity your geometric progeny
That fit inside you oh so tight
With triangles that feel so right

31415926535897
932384626433 832 79
5028841971693993
7510582097494459

Your everconstant homily says flaw is discipline
",80,4.7625
Rage Against the Machine,Bulls on Parade,0,angry,"Come with it now
Come with it now

The microphone explodes shattering the molds
Either drop the hits like de la O or get the fuck off the commode
With the sure shot sure to make the bodies drop
Drop and dont copy yo dont call this a coop

Terror rains drenchin quenchin the thirst
Of the power dons that five sided Fistagon
The rotten sore on the face of Mother Earth gets bigger
The triggers cold empty your purse

Rally round the family
With a pocket full of shells
They rally round the family
With a pocket full of shells

They rally round the family
",106,4.188679245283019
My Dying Bride,A Doomed Lover,3,sad,"Your unbreathing unbreathing sleep
Our dreamless bed is mine to keep
In my eyes and frozen arms
Nothing lives cept my harm

Now youre worn worn with years
Years and sorrows like saints with arrows
Once again I see a man
",41,4.341463414634147
Annie,Marie Cherie,3,sad,"I used to know ths girl Marie
And so the story goes she never really talked to me
Her house was seven blocks away
On my way to school I went to see if shes okay

Tell me where have you gone
Where have you gone Marie
Why did you leave
Come back to me cherie
I know you went away
You went away Marie
You could not stay
You could not stay cherie
",74,3.6216216216216215
Rosenstolz,Sex im Hotel,1,happy,"Dein Mund der ist zu süß
Um ungeküsst zu sein
Drum lauf schnell her zu mir
Mir gehts genau wie dir
Das Leben ist zu kurz
Das Leben ist zu kurz

Der König hat die Macht
Doch wir haben den Spaß
Drum komm mit ins Hotel
Der Mond scheint heut so hell
Das Leben ist zu kurz
Das Leben ist zu kurz

",62,3.661290322580645
Cascada,What Do You Want From Me?,1,happy,"So there you are
again youre circling all around
if you could only touch me now
strangers from the past
Dont hesitate
now were standing face to face
if heaven is the only place
would you take my hand

Ref
Just tell me what do you want from me
this is love in the first degree
tell me why everytime I feel your eyes all over me

Tell me what do you want from me
are you mad enough to see
that its hard to cross the line
",88,3.7386363636363638
Res,Let Love,2,relaxed,"And when the sun runs out
No doubts left standing
Well see if Jah wills that were alone again
Let love slip through our fingers I say

Live up live up live up
I wanna get up
Instead I give up
Sometimes life dictates what we hate

And when the sun runs out
No doubts left standing
Who knows if itll go our way

And when the sun runs out
No doubts left standing
Insha Allah itll be okay

And when the sun runs out
No doubts left standing
Would it be different if we knew we would win
Let love slip through our fingers I say

Live up live up live up
Sometimes
Even the seasons change
All patterns rearrange
",121,3.950413223140496
Marillion,The Invisible Man,3,sad,"The worlds gone mad
And I have lost touch
I shouldnt admit it
But I have
It slipped away while I was distracted
I havent changed
I swear I havent changed
How did this happen I didnt feel myself
Evaporating

My body has gone
But my eyes remain
Hovering Witnessing
Cold as a ghost watching the streets
Sheltering in doorways of
Venice Vienna
Budapest Krakow and Amsterdam

I have become the invisible man

I have become the invisible man
The invisible heart beating against you

The invisible pulse silently thumping
I shout my name in the public places
No one seems to notice
No one understands
I stand perfectly still
In the middle of the road
I hold my nerve
I hold my nerve
Hold my nerve
",127,4.4015748031496065
Afghan Whigs,66,1,happy,"Yeah

You walked in just like smoke
With a little come on come on come on
In your walk come on

Ive been waitin
Are you waitin for my move
Well Im makin it ooh

So tell me baby can you shake it
If I can move it with you will you let me take it
Ill be down on my knees
Screamin take me take me take me
Take me Im yours

Ive never felt so out of control
You dont even know what youre doin to me
",89,3.3707865168539324
Susie Suh,Shell,2,relaxed,"The time is coming Its coming soon
I feel it in my bones I feel it in my shoes
I was lost but now Im found
And all my troubles are turning around

Oh I feel Ive getting so close to you
Heavens holding my hand
And Im ready to break on through

So Im tearing down the walls inside
Letting go of all my pride
Making room for the lie
I dont need to hide inside this shell
This shell no more
No more

I dont know my right from left
",92,3.608695652173913
Dinosaur Jr.,Not the Same,3,sad,"On this day where youre so messed its clear
Cant explain the road you roam
Anyone whos been

As I walk with you it chills me so
To hear you say its gone the worse so I cared

Here I dream I always talked to you
You seem fine again my sweet
Feels alright to me
Is it right for you

Flippin out I try to call to you till you come to me
Tell me what to do
",79,3.430379746835443
Shania Twain,I'm Gonna Getcha Good!,1,happy,"Ahh
Lets go

Dont wantcha for the weekend
Dont wantcha for a night
Im only interested if I can have you for life yeah yeah
Uh I know I sound serious
And baby I am
Youre a fine piece of real estate and Im gonna get me some land some land
Oh yeah

So dont try to run honey
Love can be fun
Theres no need to be alone
When you find that someone

Im gonna getcha
Im gonna getcha while I gotcha in sight
Im gonna getcha
Im gonna getcha if it takes all night
Yeah you can betcha
You can betcha by the time I say Go youll never say No
Im gonna getcha

Im gonna getcha its a matter of fact
Im gonna getcha
Im gonna getcha dont you worry bout that
Yeah you can betcha
You can bet your bottom dollar in time youre gonna be mine
",151,3.7218543046357615
Stevie Wonder,Part-Time Lover,1,happy,"Call up ring once hang up the phone
To let me know you made it home
Dont want nothing to be wrong with parttime lover
If shes with me Ill blink the lights
To let you know tonights the night
For me and you my parttime lover

We are undercover passion on the run
Chasing love up against the sun
We are strangers by day lovers by night
Knowing its so wrong but feeling so right

If Im with friends and we should meet
Just pass me by dont even speak
Know the words discreet with parttime lover
But if theres some emergency
Have a male friend to ask for me
So then she wont peek its for you my parttime lover
",122,3.9344262295081966
Eppu Normaali,Tahroja paperilla,3,sad,"Tiedän että on yö kun saavut kotiisi pimeään
Yksinäisyys lyö sanomatta nimeään
Kun luet kirjeeni kaiun kuulet
Tahrat näet joita sateeksi luulet

Kuljen ulkona valossa
Kasvoillani voin tuntea tuulen
Ei sitä tuntunut talossa
Johon palaa en koskaan luulen
En ole menossa minnekään
Ei missään tule minun luokseni
Minun vuokseni

Vain tahroja paperilla älä siis suutu
Ei niistä asiat miksikään muutu
Ei se että meillä oli retkemme
Eikä se että meillä oli hetkemme

Voi tuuli kylmästi kutittaa selkää
",77,5.3896103896103895
Metallica,Battery,0,angry,"Lashing out the action
Returning a reaction
Weak are ripped and torn away
Hypnotizing power
Crushing all that cower
Battery is here to stay

Smashing through the boundaries
Lunacy has found me
Cannot stop the battery

Pounding out aggression
Turns into obsession
Cannot kill the battery

Cannot kill the family
Battery is found in me

Battery
Battery

",57,5.087719298245614
Juana Molina,Son,2,relaxed,"las cosas sólo son
los rayos los árboles son
las praderas los desastres
son las sombras y el calor
",19,4.2105263157894735
Laura Marling,Your Only Doll (Dora),2,relaxed,"I fell into the street poison in my veins
Clamber to my feet and into the night again
Back to my home back to my owner
Who screams at my tardiness
Put his hands to the sky
And says What can I do with a girl
If she refuses to be mine

In his bed I am queen unobtainable me
Sexual being human with feelings
The two are not me
The two will not be mine
And what can you do with a girl
If she refuses to be mine

Put his hand on my shirt Hand on my shirt
Hand on my face Hand on my face
Head to the wall Head to the wall
When youve broken your only doll

And what will you do with a girl
If she refuses to be alive
",136,3.463235294117647
Three Dog Night,Joy To The World,1,happy,"Jeremiah was a bullfrog
Was a good friend of mine
I never understood a single word he said
But I helped him adrink his wine
And he always had some mighty fine wine

Singin
Joy to the world
All the boys and girls now
Joy to the fishes in the deep blue sea
Joy to you and me

If I were the king of the world
Tell you what Id do
Id throw away the cars and the bars and the war
Make sweet love to you

Sing it now
Joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me
",113,3.4601769911504423
JAY-Z,I Just Wanna Love U (Give It 2 Me),1,happy,"Lets go Hov
Uhhuh Hov
You are not ready Hov
Unstoppable Dynasty
Young Hova

Im a hustler baby Hov Im a hustler
I just want you to know Hov I wanna let you know
It aint where I been it aint where I been Hov
But where Im bout to go top of the world Young Hova holla
Now I just wanna love ya Just wanna love you Hov
But be who I am you know you love me Hov
And with all this cash mo money mo problems
Youll forget your man

Now give it to me
Gimme that funk that sweet that nasty that gushy stuff
But dont bullshit me
Cmon gimme that funk that sweet that nasty that gushy stuff yeah uhh yeah

When the Remys in the system aint no tellin
Will I fuck em Will I diss em Thats what they be yellin
Im a pimp by blood not relation
Yall be chasin I replace them huh
Drunk off Cris mami on E
Cant keep her little model hands off me
Both in the club high singing offkey
And I wish I never met her at all

It gets better ordered another round
Its about to go down
Got six model chicks six bottles of Cris
Four Belvederes got weed everywhere
What do you say me you and your Chloe glasses uhhuh
",227,3.7400881057268722
Colder,To The Music,1,happy,"Shes all dressed up pretty well
Waving your hands so high she could reach the sky
She is all necked up like shes got something to sell
But no one cares right now as she starts to dance

And she starts dancing to the music slowly by my side
And she starts dancing to the music now yeah
And she starts dancing to the music slowly by my side
And she starts dancing to the music now yeah

",78,3.91025641025641
Eagles of Death Metal,English Girl,1,happy,"My face is stuck in a cheshire grin
I met an english girl
Shes like the toast of my whole world
We hit the gas just in order yo get away

",31,3.4193548387096775
Kris Kross,Jump,1,happy,"Jump jump
You should know you should know that ahh
Kris Kross is not having anything today
As we stand there totally crossed out

We commence to make ya jump jump
The Mac Dadll make ya jump jump
The Daddy Macll make ya jump jump
Kris Krossll make ya jump jump

Dont try to compare us yeah to another bad little fad
Im the Mac and Im bad give ya something that you never had
Ill make ya bump hump wiggle and shake your rump
Cause Ill be kicking the flavor that makes you wanna jump
How high Real high cause Im just so fly
A young lovable huggable type of guy
And everything is to the back with a little slack

Cause inside out its wiggidawiggidawiggida wack
I come stompin with somethin pumpin to keep you jumpin
RNB rap is bull crap is what Im dumpin
Aint nothin soft about Kris Kross we all that
So when they ask do they rock Say believe that

Jump jump
The Mac Dadll make ya jump jump
The Daddy Macll make ya jump jump
Kris Krossll make ya jump jump
Uh huh uh huh

Jump jump
The Mac Dadll make ya jump jump
The Daddy Macll make ya jump jump
",208,3.9903846153846154
Mark Dinning,Teen Angel,3,sad,"Teen angel teen angel
Teen angel ooh ooh

That fateful night
The car was stalled
Upon the railroad track
I pulled you out and we were safe
But you went running back

Teen angel can you hear me
Teen angel can you see me
Are you somewhere up above
",49,3.979591836734694
Starfucker,Girls Just Want To Have Fun,1,happy,"I come home in the morning light
My mother says when you gonna live your life right
Oh mother dear were not the fortunate ones
And girls they wanna have fun oh girls just wanna have fun

The phone rings in the middle of the night
My father yells what you gonna do with your life
Oh daddy dear you know youre still number one
But girls they wanna have fun oh girls just wanna have

Thats all they really want some fun
When the working day is done
",89,3.9887640449438204
"""Weird Al"" Yankovic",Christmas At Ground Zero,1,happy,"Its Christmas at Ground Zero
Theres music in the air
The sleigh bells are ringing and the carolers are singing
While the air raid sirens blare

Its Christmas at Ground Zero
The button has been pressed
The radio just let us know
That this is not a test

Everywhere the atom bombs are dropping
Its the end of all humanity
No more time for lastminute shopping
Its time to face your final destiny
",73,4.3561643835616435
Marius Müller-Westernhagen,Johnny W.,3,sad,"Johnny Walker jetzt bist du wieder da
Johnny Walker ich zahl dich gleich in bar
Johnny Walker du hast mich nie enttäuscht
Johnny du bist mein bester Freund

Johnny Walker immer braungebrannt
Johnny Walker mit dem Rücken an die Wand
Johnny Walker komm giess dich nochmal ein
Johnny lass dreizehn gerade sein

",52,4.884615384615385
The Acacia Strain,Demolishor,0,angry,"Destroy
Her body was destroyed
If you thought you were going to walk away from this without a scratch
You were wrong
Youre going to taste my DNA whether you like it or not
Beg for your life
Or dont open your mouth
",43,3.9767441860465116
Skinny Puppy,Assimilate,0,angry,"Oil remove shred and tear radiation vapor air
Its the fear so unclear
Man in motion going nowhere
In our homes stuck in the face
Spread the word to the populace
Yellow journal yellow journal

Set the pace feel the rage
Manifestations of a sore so insidious off the point
Simple solution never confusion
Sport a gun kill a cop
Crazy world of weary thought
So receive me had enough
Lock me up lock me up

Rot and assimilate
Hot to annihilate
Rot and assimilate Tear your face
So hot to annihilate Hit with mace

Is it safe

Deviation tonic mess
Prolonged existence innocence
Is he who speaks isnt weak
Wheelchair virtue so to speak
Bubonic plague the truth of aids
Immunity avoid decay
In the trench of pestilence
",129,4.488372093023256
